policy_id,customer_id,product_id,advisor_id,policy_number,policy_type,status,effective_date,expiry_date,premium_amount,coverage_amount,payment_frequency,last_payment_date,risk_category
POL-00351,CUS-0106,PRD-0002,ADV-0020,MLJ-685871,Wealth,Active,2024-03-11,2054-03-11,20654,15095497,Quarterly,2025-07-27,High
POL-00352,CUS-0037,PRD-0008,ADV-0029,MLJ-758067,Health,Active,2025-02-12,2040-02-12,20745,26373490,Monthly,2025-02-20,High
POL-00353,CUS-0133,PRD-0011,ADV-0003,MLJ-653416,Health,Cancelled,2023-02-22,2038-02-22,4992,10511927,Annual,2025-06-25,Medium
POL-00354,CUS-0091,PRD-0004,ADV-0030,MLJ-549399,Life,Active,2022-12-19,2121-12-19,4852,33243605,Semi-Annual,2025-12-13,Low
POL-00355,CUS-0049,PRD-0008,ADV-0026,MLJ-915143,Health,Cancelled,2023-05-11,2122-05-11,17560,29286599,Semi-Annual,2025-06-03,Medium
POL-00356,CUS-0194,PRD-0001,ADV-0024,MLJ-300662,Wealth,Active,2018-09-03,2038-09-03,78329,42796135,Semi-Annual,2025-04-02,Medium
POL-00357,CUS-0193,PRD-0007,ADV-0025,MLJ-371576,Health,Active,2025-03-18,2045-03-18,5766,9136806,Semi-Annual,2025-10-08,High
POL-00358,CUS-0051,PRD-0005,ADV-0009,MLJ-608638,Life,Active,2019-09-04,2118-09-04,17373,46550686,Annual,2025-07-19,Low
POL-00359,CUS-0013,PRD-0011,ADV-0001,MLJ-872862,Health,Active,2024-12-17,2034-12-17,109,338991,Quarterly,2025-05-30,Low
POL-00360,CUS-0129,PRD-0004,ADV-0010,MLJ-875741,Life,Cancelled,2019-10-04,2039-10-04,5101,29125614,Semi-Annual,2026-01-08,High
POL-00361,CUS-0107,PRD-0012,ADV-0014,MLJ-413943,Life,Active,2019-03-21,2118-03-21,7150,22633396,Annual,2025-07-20,High
POL-00362,CUS-0075,PRD-0004,ADV-0008,MLJ-961451,Life,Lapsed,2021-09-05,2036-09-05,1892,11365226,Monthly,2025-03-07,Medium
POL-00363,CUS-0120,PRD-0010,ADV-0006,MLJ-815764,Life,Active,2020-04-04,2040-04-04,92777,49071132,Annual,2026-01-25,High
POL-00364,CUS-0135,PRD-0010,ADV-0005,MLJ-583637,Life,Lapsed,2019-07-04,2034-07-04,99335,50520495,Annual,2026-01-03,Medium
POL-00365,CUS-0176,PRD-0010,ADV-0017,MLJ-142110,Life,Active,2020-07-24,2035-07-24,511532,271156781,Monthly,2025-02-26,High
POL-00366,CUS-0128,PRD-0010,ADV-0015,MLJ-606726,Life,Cancelled,2019-03-23,2039-03-23,357748,200252705,Quarterly,2025-12-18,High
POL-00367,CUS-0159,PRD-0004,ADV-0005,MLJ-156862,Life,Active,2018-09-17,2117-09-17,7387,44004849,Annual,2026-01-23,High
POL-00368,CUS-0175,PRD-0011,ADV-0023,MLJ-229134,Health,Active,2022-01-07,2052-01-07,1524,4287515,Quarterly,2025-02-21,High
POL-00369,CUS-0102,PRD-0006,ADV-0024,MLJ-846087,Health,Cancelled,2023-11-22,2043-11-22,1427,1527619,Monthly,2026-04-04,Medium
POL-00370,CUS-0111,PRD-0004,ADV-0020,MLJ-691820,Life,Cancelled,2022-03-03,2052-03-03,13600,78225699,Monthly,2025-05-02,Low
POL-00371,CUS-0083,PRD-0008,ADV-0021,MLJ-699131,Health,Active,2024-07-26,2034-07-26,18777,29121190,Semi-Annual,2026-04-30,High
POL-00372,CUS-0167,PRD-0008,ADV-0015,MLJ-587450,Health,Active,2025-06-23,2040-06-23,19853,24812438,Monthly,2025-10-01,Medium
POL-00373,CUS-0048,PRD-0006,ADV-0020,MLJ-497720,Health,Active,2021-07-07,2051-07-07,14712,18566020,Monthly,2025-02-07,High
POL-00374,CUS-0009,PRD-0010,ADV-0019,MLJ-248812,Life,Active,2022-07-21,2042-07-21,375118,208169135,Quarterly,2025-04-20,Low
POL-00375,CUS-0198,PRD-0008,ADV-0021,MLJ-971981,Health,Lapsed,2018-01-26,2028-01-26,21937,26386705,Monthly,2025-08-19,High
POL-00376,CUS-0009,PRD-0001,ADV-0007,MLJ-727634,Wealth,Cancelled,2021-02-02,2031-02-02,61241,27888642,Annual,2025-09-14,Low
POL-00377,CUS-0048,PRD-0010,ADV-0010,MLJ-995533,Life,Active,2018-10-12,2038-10-12,161613,99838400,Quarterly,2025-12-25,High
POL-00378,CUS-0184,PRD-0004,ADV-0030,MLJ-744460,Life,Cancelled,2022-02-21,2037-02-21,8363,63964334,Annual,2026-04-25,Medium
POL-00379,CUS-0089,PRD-0003,ADV-0024,MLJ-223109,Life,Active,2022-09-30,2042-09-28,13978,24243867,Monthly,2025-10-22,High
POL-00380,CUS-0167,PRD-0004,ADV-0018,MLJ-636849,Life,Active,2023-12-28,2043-12-28,3912,26586365,Quarterly,2025-07-16,Medium
POL-00381,CUS-0177,PRD-0007,ADV-0002,MLJ-936273,Health,Cancelled,2022-02-17,2121-02-17,624,925139,Quarterly,2025-10-24,High
POL-00382,CUS-0039,PRD-0003,ADV-0022,MLJ-176547,Life,Active,2020-05-18,2050-05-18,113171,179545092,Monthly,2025-06-30,Low
POL-00383,CUS-0101,PRD-0011,ADV-0028,MLJ-455293,Health,Active,2022-04-03,2121-04-03,6827,19199888,Annual,2025-09-05,High
POL-00384,CUS-0001,PRD-0005,ADV-0010,MLJ-206028,Life,Active,2022-03-13,2032-03-13,15401,30932889,Quarterly,2025-03-20,Medium
POL-00385,CUS-0075,PRD-0003,ADV-0016,MLJ-806614,Life,Lapsed,2025-12-18,2035-12-18,7755,11064227,Monthly,2025-07-10,High
POL-00386,CUS-0116,PRD-0012,ADV-0013,MLJ-722794,Life,Lapsed,2018-10-05,2117-10-05,8892,27210537,Semi-Annual,2025-02-23,High
POL-00387,CUS-0113,PRD-0004,ADV-0018,MLJ-858121,Life,Active,2022-09-16,2037-09-16,8755,58550940,Annual,2026-01-12,Medium
POL-00388,CUS-0038,PRD-0008,ADV-0027,MLJ-496076,Health,Lapsed,2020-05-02,2050-05-02,6965,10702848,Annual,2026-02-06,Medium
POL-00389,CUS-0053,PRD-0007,ADV-0023,MLJ-570926,Health,Active,2021-03-12,2031-03-12,257,435191,Quarterly,2025-08-08,High
POL-00390,CUS-0063,PRD-0009,ADV-0021,MLJ-150553,Group,Active,2024-09-11,2044-09-11,33654,106885668,Annual,2025-01-22,Medium
POL-00391,CUS-0127,PRD-0012,ADV-0008,MLJ-346291,Life,Active,2023-04-28,2033-04-28,11881,28808424,Quarterly,2025-03-02,Medium
POL-00392,CUS-0161,PRD-0009,ADV-0011,MLJ-156650,Group,Active,2018-01-19,2117-01-19,64175,210850200,Annual,2025-03-31,Low
POL-00393,CUS-0013,PRD-0005,ADV-0014,MLJ-642787,Life,Active,2019-01-11,2049-01-11,11957,26655085,Semi-Annual,2025-06-11,Low
POL-00394,CUS-0024,PRD-0007,ADV-0026,MLJ-623449,Health,Active,2019-12-14,2039-12-14,249,382769,Monthly,2025-07-05,Low
POL-00395,CUS-0190,PRD-0001,ADV-0007,MLJ-406199,Wealth,Active,2019-03-15,2118-03-15,32543,20349678,Semi-Annual,2025-02-28,High
POL-00396,CUS-0047,PRD-0012,ADV-0001,MLJ-922182,Life,Active,2019-09-17,2029-09-17,2777,9453996,Monthly,2025-12-23,Medium
POL-00397,CUS-0069,PRD-0012,ADV-0004,MLJ-526091,Life,Active,2025-12-17,2035-12-17,9228,24437757,Annual,2026-02-09,Medium
POL-00398,CUS-0199,PRD-0003,ADV-0007,MLJ-946702,Life,Active,2023-11-08,2122-11-08,8373,14214101,Quarterly,2025-12-29,Medium
POL-00399,CUS-0028,PRD-0007,ADV-0005,MLJ-266946,Health,Active,2020-12-03,2040-12-03,3958,7520381,Monthly,2025-10-01,Low
POL-00400,CUS-0177,PRD-0009,ADV-0027,MLJ-911658,Group,Lapsed,2022-02-04,2121-02-04,77129,231367511,Annual,2025-04-30,Medium
